Compound,Similarity,Smiles,,,,Smiles
CHEMBL7620,1, CC1=CC=CC(=C1)C(=O)OCC(O)CNC(C)(C)C,,,,
CHEMBL38,1, C\\C(\\C=C\\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,,,,
CHEMBL7576,1, CC(C)[C@H](NC(=O)C1=C(Br)C=CC=C1)C(O)=O,,,,
CHEMBL1163194,1, CCOC(=O)\\C=C/OC1=CC=C(F)C=C1,,,,
CHEMBL434,1, CC(C)NCC(O)C1=CC(O)=C(O)C=C1,,,,
CHEMBL7484,1, CCCOC1=C(C=CC=C1)C(=O)OCC(O)CNC(C)C,,,,
CHEMBL3311009,1, CC[C@H](C)C1=C(OCCCCN(CC)CC)C=CC=C1,,,,
CHEMBL7688,1, COC(=O)C(C)(C)CCCOC1=C(OCCCC(C)(C)C(=O)OC)C=CC=C1,,,,
CHEMBL7313,1, CC(C)(C)NCC(O)COC(=O)C1=CC=C(F)C=C1,,,,
CHEMBL7312,1, CC(C)(C)NCC(O)COC(=O)C1CCCC1,,,,
CHEMBL3310984,1, CCCC(C)NS(=O)(=O)C1=CC=C(C)C=C1,,,,
CHEMBL7310,1, CC(C)NCC(O)COC(=O)C1=CC=C(N)C=C1,,,,
CHEMBL7570,1, CCC(O)C1=C(OCCCC(C)(C)C(O)=O)C=CC(OCCCC(C)(C)C(O)=O)=C1,,,,
CHEMBL6995,1, CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1,,,,
CHEMBL7596,1, NC(CCC(=O)N1CSCC1C(O)=O)C(O)=O,,,,
CHEMBL7195,1, CC(C)C(=O)NCC(C)(C)NCC(O)COC(=O)C1=C(F)C=CC=C1,,,,
CHEMBL7503,1, NC(CCC(=O)N1CCCC1C(O)=O)C(O)=O,,,,
CHEMBL7214,1, CCNC(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,,,,
CHEMBL25,1, CC(=O)OC1=CC=CC=C1C(O)=O,,,,
CHEMBL24,1, CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,,,,
CHEMBL7034,1, CSCC[C@H](NC(=O)NC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,,,,
CHEMBL7280,1, OC[C@@H](NC(=O)C1=C(Br)C=CC=C1)C(O)=O,,,,
CHEMBL7591,1, COC(=O)C(C)(C)CCCCCOC1=C(OCCCCCC(C)(C)C(=O)OC)C=CC=C1,,,,
CHEMBL7100,1, NC(=O)CC[C@H](NC(=O)C1=C(Br)C=CC=C1)C(O)=O,,,,
CHEMBL7168,1, NC(=N)NCCC[C@H](NC(=O)C1=C(Br)C=CC=C1)C(O)=O,,,,
